ＰＩコード	Ｈ寸法	Ｗ寸法	裏板	裏板Ｈ	裏板Ｗ	プラスタ	ﾌﾟﾗｽﾀＨ	ﾌﾟﾗｽﾀＷ	板厚	登録	備考
77137000	24	71	0			1	-3	-52	0.5		MWﾊﾟﾈﾙ(虎ノ門仕様)
30901000	41	76	0			1	-20	-52	0.5	2014/5/20	LUXﾊﾟﾈﾙ
30901001	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ ｱﾅﾂｷ
30901002	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ ｳﾗﾂｷ
30901003	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ ｳﾗﾂｷ ｱﾅﾂｷ
30902000	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ ﾇﾘ
30902001	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ ﾇﾘ ｱﾅﾂｷ
30902002	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ(ｳｴ) ﾇﾘ
30902003	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ ﾇﾘ　ｳﾗﾂｷ 
30902004	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ ﾇﾘ　ｳﾗﾂｷ ｱﾅﾂｷ 
30902005	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ(ｳｴ) ﾇﾘ　ｳﾗﾂｷ 
30903000	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ
30903001	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ｱﾅﾂｷ
30903002	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ｳﾗﾂｷ
30903003	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ｳﾗﾂｷ ｱﾅﾂｷ
30904000	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ﾇﾘ
30904001	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ﾇﾘ ｱﾅﾂｷ
30904002	41	71	0			1	-20	-52	0.5		SLUXﾊﾟﾈﾙ(ｳｴ) ﾇﾘ
30904003	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ﾇﾘ ｳﾗﾂｷ 
30904004	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ ﾇﾘ ｳﾗﾂｷ ｱﾅﾂｷ
30904005	41	71	5SECC	-20	-52	1	-20	-52	0.5		SLUXﾊﾟﾈﾙ(ｳｴ) ﾇﾘ ｳﾗﾂｷ 
30902010	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ06 ﾇﾘ
30902011	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ06 ﾇﾘ ｱﾅﾂｷ
30902012	41	76	0			1	-20	-52	0.5		LUXﾊﾟﾈﾙ(ｳｴ)06 ﾇﾘ
30902013	41	76	5SECC	-20	-52	1	-20	-52	0.5		LUXﾊﾟﾈﾙ06 ﾇﾘ ｳﾗｲﾀﾂｷ
